# width:480 height:360 psr bound:50 mu:0.8
1 0 0 0 0 0 0 1
1 0 0 0 -nan -nan -nan -nan
48 -nan -nan -nan -nan -nan -nan -nan
68 -nan -nan -nan -nan -nan -nan -nan
89 -nan -nan -nan -nan -nan -nan -nan
271 -nan -nan -nan -nan -nan -nan -nan
322 -nan -nan -nan -nan -nan -nan -nan
336 -nan -nan -nan -nan -nan -nan -nan
342 -nan -nan -nan -nan -nan -nan -nan
345 -nan -nan -nan -nan -nan -nan -nan
346 -nan -nan -nan -nan -nan -nan -nan
347 -nan -nan -nan -nan -nan -nan -nan
348 -nan -nan -nan -nan -nan -nan -nan
349 -nan -nan -nan -nan -nan -nan -nan
350 -nan -nan -nan -nan -nan -nan -nan
351 -nan -nan -nan -nan -nan -nan -nan
352 -nan -nan -nan -nan -nan -nan -nan
354 -nan -nan -nan -nan -nan -nan -nan
355 -nan -nan -nan -nan -nan -nan -nan
356 -nan -nan -nan -nan -nan -nan -nan
358 -nan -nan -nan -nan -nan -nan -nan
369 -nan -nan -nan -nan -nan -nan -nan
370 -nan -nan -nan -nan -nan -nan -nan
390 -nan -nan -nan -nan -nan -nan -nan
408 -nan -nan -nan -nan -nan -nan -nan
412 -nan -nan -nan -nan -nan -nan -nan
416 -nan -nan -nan -nan -nan -nan -nan
419 -nan -nan -nan -nan -nan -nan -nan
423 -nan -nan -nan -nan -nan -nan -nan
429 -nan -nan -nan -nan -nan -nan -nan
437 -nan -nan -nan -nan -nan -nan -nan
450 -nan -nan -nan -nan -nan -nan -nan
469 -nan -nan -nan -nan -nan -nan -nan
485 -nan -nan -nan -nan -nan -nan -nan
499 -nan -nan -nan -nan -nan -nan -nan
505 -nan -nan -nan -nan -nan -nan -nan
506 -nan -nan -nan -nan -nan -nan -nan
508 -nan -nan -nan -nan -nan -nan -nan
524 -nan -nan -nan -nan -nan -nan -nan
543 -nan -nan -nan -nan -nan -nan -nan
568 -nan -nan -nan -nan -nan -nan -nan
586 -nan -nan -nan -nan -nan -nan -nan
601 -nan -nan -nan -nan -nan -nan -nan
606 -nan -nan -nan -nan -nan -nan -nan
621 -nan -nan -nan -nan -nan -nan -nan
658 -nan -nan -nan -nan -nan -nan -nan
674 -nan -nan -nan -nan -nan -nan -nan
678 -nan -nan -nan -nan -nan -nan -nan
680 -nan -nan -nan -nan -nan -nan -nan
685 -nan -nan -nan -nan -nan -nan -nan
728 -nan -nan -nan -nan -nan -nan -nan
761 -nan -nan -nan -nan -nan -nan -nan
789 -nan -nan -nan -nan -nan -nan -nan
812 -nan -nan -nan -nan -nan -nan -nan
830 -nan -nan -nan -nan -nan -nan -nan
853 -nan -nan -nan -nan -nan -nan -nan
874 -nan -nan -nan -nan -nan -nan -nan
896 -nan -nan -nan -nan -nan -nan -nan
906 -nan -nan -nan -nan -nan -nan -nan
913 -nan -nan -nan -nan -nan -nan -nan
916 -nan -nan -nan -nan -nan -nan -nan
924 -nan -nan -nan -nan -nan -nan -nan
942 -nan -nan -nan -nan -nan -nan -nan
959 -nan -nan -nan -nan -nan -nan -nan
975 -nan -nan -nan -nan -nan -nan -nan
989 -nan -nan -nan -nan -nan -nan -nan
1011 -nan -nan -nan -nan -nan -nan -nan
1031 -nan -nan -nan -nan -nan -nan -nan
1046 -nan -nan -nan -nan -nan -nan -nan
1060 -nan -nan -nan -nan -nan -nan -nan
1080 -nan -nan -nan -nan -nan -nan -nan
1085 -nan -nan -nan -nan -nan -nan -nan
1108 -nan -nan -nan -nan -nan -nan -nan
1138 -nan -nan -nan -nan -nan -nan -nan
1224 -nan -nan -nan -nan -nan -nan -nan
